N 84  4  35  23
N 140 16 73  60
N 145 17 66  21
N 142 21 58  23
N 96  0  44  65
N 210 6  91  59
N 103 3  48  54
N 70  1  26  30
N 211 14 107 52
N 68  8  26  29
N 141 2  48  73
N 4   1  2   1
N 43  2  24  20
N 147 10 56  53
N 138 1  56  34
N 51  2  14  25
N 42  3  17  15
N 194 9  91  78
N 32  4  14  12
N 69  4  35  32
N 112 18 50  44
N 139 0  94  60
N 186 19 107 74
N 81  5  37  37
N 124 1  67  36
N 117 11 66  34
N 53  2  21  22
N 127 7  65  37
